topic,answer_type,problem,expected_answer
TV shows,Other,"In the British series Happy Valley, in which season and episode does Catherine discover the dead body of Lynn Dewhurst, Tommy's mother?","Series 2, ""Episode One"""
History,Date,"On what day, month, and year was Richard Evelyn Byrd Jr. promoted to the rank of Lieutenant (Junior Grade)?","June 8, 1915"
Science and technology,Date,In what year did the Japanese mathematician Kiyosi Ito receive the Fujiwara Prize?,1985
History,Date,"What day, month, and year did MKA first say, ""Peace at home, peace in the world?""",20-Apr-31
History,Date,What year did Shokichi Iyanaga become Dean of the Faculty of Science at Tokyo University?,1965
Politics,Person,Who did Natasha Merle start her legal career with as a law clerk in New York from 2008 to 2009?,Judge Robert L. Carter
Politics,Date,"On what date, month, and year was the Indian politician Prabhunath Singh born?",20-Nov-53
Science and technology,Person,What is the full name of the first person to be awarded a Ph.D. in Mathematics from the Universidad Nacional Autónoma de México?,Roberto Vázquez García
Politics,Person,"What is the first name of the South African politician who served as Minister of Higher Education and Training and Minister of Home Affairs under President Jacob Zuma and was Deputy Minister in the Presidency for Women, Youth, and Persons with Disabilities?",Hlengiwe
Science and technology,Date,In which month and year was the 64-bit version of Raspberry Pi OS released?,Feb-22
Politics,Date,What was the year and month when The Atlantic reported that the Centers for Disease Control and Prevention (CDC) were conflating the results of two different types of coronavirus tests that diagnose current coronavirus infections and measure whether someone has ever had the virus?,May-20
TV shows,Other,On what radio show was a laugh track first used?,The Bing Crosby – Chesterfield Show
Science and technology,Person,"In a 1988 paper, which author defined Mammalia phylogenetically as the crown group of mammals—the clade consisting of the most recent common ancestor of living monotremes and therian mammals?",Timothy Rowe
Other,Person,Who murdered the original Baron Blitzkrieg?,Superboy-Prime
Art,Person,To whom was Ida Pulis Lathrop married?,Cyprus Clark Lathrop
Politics,Place,"In which city was Ioan Ghise, the former mayor of Brasov, Romania, born?",Mediaș.
Politics,Date,"What day, month, and year did Russia annex Donetsk and Luhansk after invading and occupying the territory in 2022?",30-Sep-22
Art,Date,"What day, month, and year was Giulio Carlo Argan born?",17-May-09
Other,Number,On how many ropanis of land was the Little Angels' School (LAS) campus constructed in Hattiban in 1995?,350
Art,Other,"What was the name of the painting that Norman Rockwell dedicated to the American Heart Association's 1958 ""Heart Fund"" campaign?",The Family Doctor
Politics,Date,In which year did Yasser Arafat (a Palestinian political leader) enroll in the University of King Fuad I?,1944
Science and technology,Number,"What is the Thermal Design Power, in watts, of the Intel® Core™ i7-9700E Processor that has 8 total cores?",65W
Sports,Number,What is the number of years that Top Thrill Dragster held the record for the tallest and fastest roller coaster in the world?,Two
Politics,Person,Who was the first woman to be elected as the Speaker of the House of Representatives in Nepal?,Onsari Gharti Magar
Geography,Number,What is the forest cover area of Uttarakhand in square kilometers according to the interpretation of IRS Resourcesat-2 LISS III satellite data from 2017-2018?,"24,303.04"
Other,Person,"Which streamer won the ""Best Philanthropic Streamer"" award at The Streamer Awards in 2022?",jacksepticeye
Politics,Person,Who was the first recipient of the D.B. Hardeman Prize?,Richard F. Fenno Jr.
Art,Other,What award did El Anatsui receive in 2008?,"Visionaries Award, Museum of Arts and Design"
Politics,Date,"On what day, month, and year did Dev Shumsher Jung Bahadur Rana's tenure as Prime Minister of Nepal begin?",5th March 1901 
,,What year was L'Hypothèse de l'Atome Primitif by Georges Lemaître translated into English?,1950
Music,Other,"Which organization promised that all money donated by listeners inspired by the song ""Healer"" would be returned or donated to charity, and Guglielmucci's bank accounts would be audited to determine the amount of funds raised?",The Australian Christian Churches
,,"What were the date, month, and year ARA's operations in Russia were shut down?","June 15, 1923."
Science and technology,Date,"In which month and year did WhatsApp start rolling out support for third-party animated stickers, initially in Iran, Brazil, and Indonesia?",Mar-21
Geography,Number,"What is the forest cover area of Rajasthan in square kilometers, according to the interpretation of IRS Resourcesat-2 LISS III satellite data from 2017?","16,629.51"
Politics,Date,"On what day, month, and year was Harbhajan Singh Rissam (an Indian interventional cardiologist, philanthropist, and writer) appointed as a member of the Medical Council of India Board of Governors?",14-May-11
Art,Date,What year did Junya Watanabe stop being the design director for Tricot?,1992
Sports,Person,Who became the fastest person and first woman to pull a double crossing of the Auau Channel in Hawaii?,Meredith Novack
Geography,Number,What was the population of the town of Hampton Falls as per the 2020 census?,"2,403"
Politics,Person,Who was the first President of the Supreme Court of Bolivia?,Manuel María Urcullo.
Sports,Date,"On which day, month, and year was the first race of the Two Oceans Marathon in Cape Town?",02-May-70
Science and technology,Person,Which scientist received the Penrose Medal after the year Hollis Dow Hedberg received his?,John Rodgers
,,What was the title of the first recorded Cape slang (local Afrikaans dialect) hip-hop song in 1990 by Prophets of Da City?,Dala Flat
Geography,Place,Which lake of Kashmir is commonly called the Supreme Gem of all Kashmiri lakes?,Manasbal Lake
Science and technology,Other,What was the name of the first calculator Toshiba marketed?,BC-1001
Science and technology,Person,Who was the President of the World Federation of Engineering Organizations in 2002?,José Medem
Music,Date,"On what day, month, and year was Takashi Masuzaki born?","Dec 8th, 1962"
Science and technology,Person,Who was awarded the ICTP Ramanujan Prize in 2013?,Ye Tian
Science and technology,Place,What was the name of the observatory in which 1994 Shane was discovered in 1961?,Goethe Link.
Politics,Number,"In her 2017 election affidavit, how much did the politician Umlesh Yadav mention her assets and liabilities were worth in crores?", ₹55.10 crores and liabilities are worth ₹7.95 crores.
Politics,Date,"In which year, on repeated requests from the student community of Ladakh, did Sonam Wangchuk (an Indian engineer, innovator, and education reformist) help launch the New Ladakh Movement (NLM), a social campaign and Ladakh's version of the Green Party, to work for sustainable education, environment, and economy?",2013
Music,Number,What is the age difference between Ghost's Papa Emeritus II and III in months?,3
Music,Other,What is the name of the song which is number 17 on the album YoungstaCpt - 3T?,Mothers Child
Art,Date,"In what year did Toufiq Hosen Khan, a student of fine arts, engrave a statue of Madhusudan Dey outside today's Madhur Canteen?",1995
Art,Person,To whom was Grete Stern married?,Horacio Coppola
Video games,Date,"On what day, month, and year was Patch 5.0.5a released in the United States for the game World of Warcraft?","September 13, 2012"
Art,Other,For what magazine did artist J.C. Leyendecker win a magazine cover competition in 1896?,The Century Magazine
Video games,Other,"What is the name of track 21 on ""The Legend of Heroes: Trails in the Sky The Animation"" Original Soundtrack CD?",Secret Green Passage
,,In what year did Leo Strauss graduate from the Gymnasium Philippinum?,1917
Geography,Place,Which is the tenth highest mountain in height in India?,Jongsong
Science and technology,Number,"By 1913, how many stars could astronomer Annie Jump Cannon classify per hour?",200
Politics,Date,"On what day, month, and year was Ila Pant (an Indian politician) born?",10-Mar-38
Music,Date,"What day, month, and year did Lisa Marie Presley die?",12-Jan-23
History,Person,"Who did Joe Gqabi become co-chairman of in the clandestine ANC organization in Johannesburg, known as the Main Machinery?",Martin Ramokgadi
Politics,Number,At what age was former president P.W. Botha elected head of the National Party Youth?,30
Other,Number,"How many people were involved in making the largest human DNA helix, achieved by the Medical University of Varna (Bulgaria) in Varna, Bulgaria, on April 23, 2016?","4,000"
Art,Other,"Cornelia Parker curated the ""Black and White Room"" for which exhibition?",Royal Academy Summer Exhibition
Music,Date,What were the year and month when the theme song of the anime Ponyo was released?,December 2007.
Geography,Number,"In feet, what is the max depth of Dal Lake located in Srinagar?",20 feet.
Science and technology,Person,Who developed Japan’s first arc lamp?,Ichisuke Fujioka
Sports,Date,What year were the Burlington Sock Puppets founded?,2021
TV shows,Other,"During the Essence Festival in 2013, what public announcement did SWV make?",reality series
Geography,Date,"What year was the municipality of Valparaíso, Antioquia, Colombia, founded?",1860
,,"In what year did Henry Petty, 1st Earl of Shelburne, succeed his elder brother to the family estates?",1696
Music,Person,Who is the credited producer for the Silent Hill 2 Original Soundtrack released in 2001?,Takaharu Ikeda
Geography,Place,"Which lake is also known as the ""Jewel in the Ring"" in Kashmir, India?",The Nigeen lake
Politics,Date,In which year did Clive Derby-Lewis become town councilor for Bedfordview?,1972
Geography,Place,What is the complete name of the oldest Hindu temple in the Umerkot District?,Umarkot Shiv Mandir
Science and technology,Place,In what city did the mathematician Iossif Ostrovskii pass away?,Ankara
Music,Place,Which parochial school did Harry Belafonte attend?,St. Charles Borromeo
